,energy,efficiency
0,1.125,-0.0
1,7.134769539078157,1.28333e-05
2,13.144539078156312,0.00470083
3,19.15430861723447,0.0125666
4,25.164078156312627,0.0207894
5,31.17384769539078,0.0401443
6,37.18361723446894,0.0645545
7,43.1933867735471,0.0942363
8,49.20315631262525,0.129053
9,55.2129258517034,0.16954
10,61.22269539078156,0.212306
11,67.23246492985972,0.255417
12,73.24223446893788,0.297453
13,79.25200400801603,0.337092
14,85.2617735470942,0.37439
15,91.27154308617234,0.408654
16,97.2813126252505,0.439433
17,103.29108216432866,0.467351
18,109.3008517034068,0.492553
19,115.31062124248497,0.515032
20,121.32039078156312,0.311207
21,127.33016032064126,0.331769
22,133.33992985971943,0.354668
23,139.34969939879758,0.377154
24,145.35946893787573,0.398704
25,151.36923847695388,0.418801
26,157.37900801603206,0.437794
27,163.38877755511018,0.455852
28,169.39854709418836,0.473108
29,175.4083166332665,0.489326
30,181.41808617234466,0.504579
31,187.4278557114228,0.51889
32,193.437625250501,0.532332
33,199.44739478957916,0.544862
34,205.45716432865729,0.556876
35,211.46693386773546,0.568067
36,217.4767034068136,0.578674
37,223.48647294589176,0.588556
38,229.4962424849699,0.59787
39,235.5060120240481,0.606712
40,241.5157815631262,0.614942
41,247.5255511022044,0.622776
42,253.53532064128254,0.630157
43,259.5450901803607,0.637185
44,265.55485971943887,0.643746
45,271.564629258517,0.650065
46,277.57439879759517,0.655994
47,283.5841683366733,0.661591
48,289.5939378757515,0.667026
49,295.60370741482967,0.672171
50,301.61347695390776,0.676975
51,307.62324649298597,0.681568
52,313.6330160320641,0.685957
53,319.64278557114227,0.690121
54,325.6525551102204,0.694207
55,331.66232464929857,0.698067
56,337.6720941883767,0.701898
57,343.6818637274549,0.705465
58,349.691633266533,0.708833
59,355.70140280561117,0.712067
60,361.7111723446894,0.715264
61,367.7209418837675,0.718401
62,373.7307114228456,0.721216
63,379.7404809619238,0.724074
64,385.750250501002,0.726784
65,391.7600200400801,0.729421
66,397.7697895791583,0.73182
67,403.7795591182364,0.734374
68,409.7893286573146,0.736734
69,415.7990981963928,0.73901
70,421.8088677354709,0.741267
71,427.8186372745491,0.74337
72,433.8284068136272,0.7455
73,439.8381763527054,0.74761
74,445.8479458917836,0.749571
75,451.8577154308617,0.751526
76,457.8674849699398,0.753402
77,463.87725450901803,0.755182
78,469.8870240480962,0.756951
79,475.8967935871743,0.758616
80,481.9065631262525,0.76031
81,487.91633266533063,0.761931
82,493.9261022044088,0.763543
83,499.935871743487,0.765061
84,505.94564128256513,0.766594
85,511.9554108216433,0.768058
86,517.9651803607214,0.769532
87,523.9749498997996,0.770952
88,529.9847194388778,0.772377
89,535.9944889779559,0.773709
90,542.004258517034,0.775096
91,548.0140280561122,0.776461
92,554.0237975951903,0.777674
93,560.0335671342685,0.778912
94,566.0433366733467,0.780182
95,572.0531062124248,0.781311
96,578.062875751503,0.782467
97,584.0726452905812,0.783626
98,590.0824148296593,0.784773
99,596.0921843687374,0.785841
100,602.1019539078156,0.786937
101,608.1117234468938,0.788033
102,614.1214929859719,0.789092
103,620.1312625250501,0.790128
104,626.1410320641284,0.791134
105,632.1508016032064,0.792089
106,638.1605711422847,0.793102
107,644.1703406813627,0.794066
108,650.1801102204408,0.79504
109,656.189879759519,0.796027
110,662.1996492985973,0.796953
111,668.2094188376753,0.79788
112,674.2191883767536,0.798807
113,680.2289579158318,0.7997
