,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
Te-121,4.9476e-17,2.0151e-16,1.8039e-16,2.0400e-15,1.6761e-14
Te-121m,9.1026e-17,3.2783e-16,7.2042e-16,8.9347e-16,1.1055e-15
Te-122,9.5481e-10,6.2185e-09,3.1111e-08,4.3891e-08,1.1218e-07
Te-123,1.6495e-12,2.5822e-11,2.3478e-10,4.9646e-10,1.2011e-09
Te-123m,1.1757e-12,1.5348e-11,1.0169e-10,2.4341e-10,6.0502e-10
Te-124,1.7882e-10,1.4081e-09,1.5066e-08,2.8304e-08,5.4555e-08
Te-125,4.6742e-09,2.4513e-08,1.4235e-07,2.9219e-07,4.4124e-07
Te-125m,1.0397e-09,4.1952e-09,1.3599e-08,2.0487e-08,2.3752e-08
Te-126,1.5377e-08,4.0362e-08,1.0004e-07,1.6344e-07,1.9683e-07
Te-127,6.5356e-09,7.0493e-09,5.2580e-09,4.7262e-09,5.5622e-09
Te-127m,3.5231e-08,5.2994e-08,4.6646e-08,3.8612e-08,4.4652e-08
Te-128,2.6003e-06,6.1015e-06,1.3134e-05,1.7975e-05,2.1092e-05
Te-129,1.8831e-11,1.6878e-11,1.0104e-11,1.3145e-11,1.3150e-11
Te-129m,3.2208e-10,5.6021e-10,5.3340e-10,5.2236e-10,6.9172e-10
Te-130,1.2663e-05,2.8329e-05,5.8273e-05,7.7933e-05,9.0014e-05
Te-131,5.6674e-11,5.8189e-11,3.6391e-11,4.1545e-11,4.5449e-11
Te-131m,1.8125e-08,1.8610e-08,1.1639e-08,1.3287e-08,1.4535e-08
Te-132,1.0133e-06,9.2156e-07,6.3669e-07,5.1312e-07,5.4716e-07
Te-133,1.3292e-21,9.9243e-22,5.5892e-22,6.3654e-22,5.8458e-22
Te-133m,2.6068e-20,1.9463e-20,1.0961e-20,1.2483e-20,1.1464e-20
Te-134,6.7349e-24,4.8387e-24,2.7082e-24,2.9493e-24,2.6524e-24
I-121,5.2338e-29,1.3567e-28,1.0326e-28,9.1250e-29,1.7481e-28
I-123,1.4931e-19,2.3866e-19,1.4532e-19,2.2895e-19,2.5956e-19
I-124,0.0000e+00,7.1444e-41,0.0000e+00,5.4784e-39,5.8274e-26
I-125,1.1053e-15,3.1373e-15,3.6257e-15,3.9724e-15,4.6467e-15
I-126,5.4176e-15,3.8323e-14,5.1264e-15,9.4759e-14,9.3155e-13
I-127,1.1277e-06,2.8210e-06,6.3623e-06,8.8214e-06,1.0322e-05
I-128,9.8034e-39,1.0852e-37,4.1624e-38,2.3761e-37,2.4173e-37
I-129,4.1441e-06,9.8061e-06,2.1192e-05,2.8891e-05,3.4056e-05
I-130,4.4784e-11,8.7790e-11,1.6624e-10,3.3912e-10,2.9535e-10
I-131,2.3419e-06,2.2805e-06,1.7225e-06,1.2141e-06,1.3626e-06
I-132,3.1174e-08,2.8350e-08,1.9587e-08,1.5785e-08,1.6833e-08
I-132m,2.7452e-18,3.4255e-18,2.0909e-18,3.3405e-18,3.5027e-18
I-133,2.0013e-07,1.6466e-07,9.8232e-08,9.9099e-08,9.6725e-08
I-134,6.3479e-20,4.6013e-20,2.5810e-20,2.8411e-20,2.5699e-20
I-135,4.7705e-09,3.6524e-09,2.0845e-09,2.3820e-09,2.2264e-09
Xe-125,1.5170e-21,3.7463e-21,1.7006e-21,1.6600e-21,2.4874e-21
Xe-126,7.8855e-15,4.5961e-13,9.0208e-14,1.4177e-10,6.6656e-11
Xe-127,6.6621e-17,3.8947e-15,3.4750e-16,9.5886e-13,6.5791e-13
Xe-128,9.2513e-09,6.2731e-08,2.3115e-07,4.2081e-07,7.0747e-07
