,hpge_Ba-137m_661.66_0.02fwhm,hpge_I-132_667.71_0.02fwhm,hpge_Nb-97_657.94_0.02fwhm,hpge_Ce-143_664.57_0.02fwhm,hpge_I-131_636.99_0.02fwhm,hpge_Ba-137m_661.66_0.005fwhm,hpge_I-132_667.71_0.005fwhm,hpge_Nb-97_657.94_0.005fwhm,hpge_Ce-143_664.57_0.005fwhm,hpge_I-131_636.99_0.005fwhm,current_Ce-144_133.5149,current_Pm-148m_414.07,current_Np-239_106.123,La140_scintillator
945,52.444490659347274,1355.7619007124863,208.44627865635164,28.32839556782866,15.094084286734835,33.70694235113288,742.106020214936,123.90104806891539,17.69843284216169,0.6334846490057517,15.055411030785578,36.522587905024274,5034.283159814769,43239.546628425625
946,10.785029271651409,2660.0400064019113,494.8278433912697,69.05581513622414,27.294328850486327,6.931716856135432,1456.0312557286297,294.12704705050515,43.14327310287818,1.1455175420540993,6.571558343914066,24.60536840608006,5928.728010525286,85158.06914251439
947,46.72462862286247,1708.1697102197168,290.4634416193218,38.294177700620594,18.333630322402016,30.030692329513805,935.0041661715652,172.65227796016387,23.924649409016567,0.7694453766893872,15.0969446542617,28.965696517291093,5304.526544278405,52568.96752745376
948,10.342840605867776,2535.211716241302,458.13780500809037,63.971984455777076,26.374034290001614,6.647514880322425,1387.703752519812,272.3183861395604,39.9671018416651,1.1068936371152014,6.312248096004634,23.467284957431385,5430.1104022058535,82621.9695804422
949,48.195376072534685,1142.5300172773914,181.96229690107867,24.847362197157288,12.90793422580503,30.97596606324472,625.3888707539621,108.15889561760622,15.523624347108143,0.5417339685594321,14.962877698225745,26.91427167121542,4952.261978235777,38665.52076679157
950,45.866093023526666,1541.8571151092833,254.95698468735776,33.89780609990149,16.92878528612055,29.47889728699585,843.9693185304264,151.54714115732887,21.177974704541658,0.7104853399087293,14.399143183947949,29.471529175458734,5719.084616755183,48257.69669821282
951,42.84446842168957,1321.147574237122,238.75098925712263,31.6203719122845,13.769173680143313,27.536849133216418,723.1591092200529,141.91425237778626,19.75512617344598,0.5778793857359394,14.72351710948949,30.06577684892769,4559.907226428006,40677.66190107094
952,43.169099190712,1409.697251314956,237.00905768885482,32.17665315098096,14.701158632754998,27.74549470264179,771.6287176468828,140.87884340640076,20.102668134332912,0.6169939255363244,14.094499425943962,25.38334133349977,4719.55967929378,42692.69221772532
953,44.7557033940919,1401.2622119462558,199.8706319295188,28.925842894950573,17.16477926273911,28.76523148995788,767.011613793343,118.80365979135797,18.07169370582333,0.720389787148173,14.475947987525212,21.038461782420097,3063.59308128904,53074.894567517505
954,49.17070980605419,1184.2605108133353,180.35104835903314,24.884736825171956,12.99797668172368,31.60282920016409,648.2309719099908,107.20116500065397,15.546974499160862,0.5455129665098657,14.034429915258995,24.538532791530816,4166.805766102027,37249.24789653406
955,53.18205581915109,1410.7675367498066,225.40376103069147,30.193427028373694,15.502153544393536,34.1809876895307,772.2145618604824,133.98062277916816,18.86362887219951,0.6506109354069176,14.882145198591411,27.282261585235823,5101.806767645137,43826.09860962126
956,9.264274853322004,2169.83755249112,392.2759639166327,55.64948200029743,22.975956611165692,5.9543028157966935,1187.7081881013744,233.1699245235425,34.767539782657806,0.9642794841278981,5.655566672948273,19.17431748242123,3292.9369014039416,74380.08644168657
957,37.25879348368591,1512.3748096837844,223.67252497796167,31.829006567240654,17.16209194894254,23.946843381222333,827.8315318478384,132.95157125198045,19.88547264578494,0.7202770030928538,13.15332886168407,25.647850915611297,3977.526550263496,51008.43351573938
958,58.98859029092991,1502.004668371198,232.87882829269063,30.919263967564177,16.683420469735502,37.912943520151984,822.1552074913967,138.42382356028756,19.317102359318277,0.7001876072584193,15.632220820785541,27.30163620048487,4867.997218157058,46448.32335891594
959,9.623428927511894,2339.690807203025,411.9663055496239,58.22409087550237,24.8114961666516,6.185137084977177,1280.6810934533862,244.8739183817618,36.37605100820691,1.0413153684488208,5.877282516981929,21.0848301497619,5424.791697241543,78263.34805952689
960,59.93548425214752,1222.7582335841316,200.60821632603432,26.053697691722586,13.396063515824268,38.52152794460019,669.3035450644361,119.242082009095,16.277293847541355,0.56222029989846,15.433750286130207,26.804061671918067,4034.4059563185256,37570.55822310344
961,19.570347668721247,2194.623859276212,398.6253181051386,54.261136469864574,23.160223447083865,12.578186428504157,1201.275516903315,236.9439983212983,33.90015779227123,0.9720129914846584,9.63353303363926,27.372478021377482,5450.73285349608,72072.18568374314
962,51.00921749724606,1199.5655058076777,188.31237545224005,25.422972330910923,13.351212743704185,32.784468529291104,656.6084966941673,111.9333999785401,15.883242217845439,0.5603379547959422,14.672988338531049,25.528194452881745,5376.351717762085,38686.65255996532
963,58.132251089338915,1111.6761624428914,164.89713349576252,22.498185757225478,12.684200506488912,37.36256013882539,608.5003364121376,98.0153150029012,14.055954165894686,0.5323440728917448,13.684182846910387,22.946409494519983,4386.796228277173,35663.485039022504
964,39.49430168348282,1494.1033414880294,231.15681561377994,32.50109014953407,16.621898107225114,25.383641509465928,817.8302428758517,137.40025443216345,20.305363215198195,0.6976055710460505,13.767683352926284,24.752141116220137,4722.359754959177,49764.43145513688
965,19.26204572646344,2089.4307475469436,300.86290991979644,45.67510546420722,24.89353330201806,12.380035666359726,1143.6957593821699,178.83375085617325,28.53595378112285,1.0447583905570739,9.83611564617022,20.054206848237186,3464.9545095179756,83732.00390016938
966,56.49938959649686,1560.1876655182348,274.37532661734986,35.07483835337389,16.228375139515144,36.31309302579504,854.0029474480021,163.08945763520225,21.91333672817836,0.6810897788760983,15.201836373818452,29.315060762623546,5406.052482237567,44657.22859941438
967,56.61368974900349,1251.645099380027,202.53100328708413,27.309980574689884,13.546723611964426,36.38655562601919,685.1154048024985,120.38499192920962,17.062168450895328,0.5685433637100485,14.982586659682196,25.832257467110132,4544.272375782897,38536.188695793135
968,55.38408706230685,1253.9953349582686,199.38247282280332,26.638911374654143,13.683516160325063,35.596269623539065,686.4018578077199,118.5134966599444,16.64291162638375,0.5742844194666403,14.691428170669477,27.39144581596398,4532.908334605314,38066.73355966907
969,59.075475233949724,1047.76430487724,144.1193351508713,20.451669735260317,12.793244991321094,37.96878591138757,573.5167790207813,85.66493384910385,12.777373941030417,0.5369205682847534,14.336216508048413,19.24044721166485,3260.703174672991,37976.07623845063
