 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.021229965381187940e+05,1.048904841166007317e-02
1.022029965219510923e+05,1.048904841166007317e-02
1.022029965219510923e+05,1.062649280821733981e-02
1.022829965057833906e+05,1.062649280821733981e-02
1.022829965057833906e+05,1.062814355159016032e-02
1.023629964896156889e+05,1.062814355159016032e-02
1.023629964896156889e+05,1.065211442682810136e-02
1.024429964734479872e+05,1.065211442682810136e-02
1.024429964734479872e+05,1.137000486255197035e-02
1.025229964572802855e+05,1.137000486255197035e-02
1.025229964572802855e+05,1.418519403442494199e-02
1.026029964411125839e+05,1.418519403442494199e-02
1.026029964411125839e+05,3.223472169748689553e-02
1.026829964249448822e+05,3.223472169748689553e-02
1.026829964249448822e+05,1.111657983612500677e-01
1.027629964087771805e+05,1.111657983612500677e-01
1.027629964087771805e+05,3.647218866402500703e-01
1.028429963926094788e+05,3.647218866402500703e-01
1.028429963926094788e+05,1.103122198237554752e+00
1.029229963764417771e+05,1.103122198237554752e+00
1.029229963764417771e+05,4.559972634896048760e+00
1.030029963602740754e+05,4.559972634896048760e+00
1.030029963602740754e+05,1.016038090597271371e+01
1.030829963441063737e+05,1.016038090597271371e+01
1.030829963441063737e+05,2.281324819868808973e+01
1.031629963279386720e+05,2.281324819868808973e+01
1.031629963279386720e+05,5.512018104611497193e+01
1.032429963117709704e+05,5.512018104611497193e+01
1.032429963117709704e+05,1.088146862355645794e+02
1.033229962956032687e+05,1.088146862355645794e+02
1.033229962956032687e+05,1.590368415289520101e+02
1.034029962794355670e+05,1.590368415289520101e+02
1.034029962794355670e+05,2.418500274523419762e+02
1.034829962632678653e+05,2.418500274523419762e+02
1.034829962632678798e+05,3.717436563823141000e+02
1.035629962471001782e+05,3.717436563823141000e+02
1.035629962471001782e+05,5.193468302032217707e+02
1.036429962309324765e+05,5.193468302032217707e+02
1.036429962309324765e+05,7.047066647803807200e+02
1.037229962147647748e+05,7.047066647803807200e+02
1.037229962147647748e+05,9.031731053607821877e+02
1.038029961985970731e+05,9.031731053607821877e+02
1.038029961985970731e+05,1.151510609166232598e+03
1.038829961824293714e+05,1.151510609166232598e+03
1.038829961824293714e+05,1.400182331315730153e+03
1.039629961662616697e+05,1.400182331315730153e+03
1.039629961662616697e+05,1.657384227283412656e+03
1.040429961500939680e+05,1.657384227283412656e+03
1.040429961500939680e+05,2.106599219330777487e+03
1.041229961339262663e+05,2.106599219330777487e+03
1.041229961339262663e+05,2.604962019122317542e+03
1.042029961177585647e+05,2.604962019122317542e+03
1.042029961177585647e+05,3.113980600073166443e+03
1.042829961015908630e+05,3.113980600073166443e+03
1.042829961015908630e+05,3.679085020097166762e+03
1.043629960854231613e+05,3.679085020097166762e+03
1.043629960854231613e+05,4.479144140679120937e+03
1.044429960692554596e+05,4.479144140679120937e+03
1.044429960692554596e+05,5.253451757785795962e+03
1.045229960530877579e+05,5.253451757785795962e+03
1.045229960530877579e+05,6.281642388354778632e+03
1.046029960369200562e+05,6.281642388354778632e+03
1.046029960369200562e+05,7.030826915855162042e+03
1.046829960207523545e+05,7.030826915855162042e+03
1.046829960207523545e+05,8.231105511523417590e+03
1.047629960045846528e+05,8.231105511523417590e+03
1.047629960045846528e+05,9.535546322855112521e+03
1.048429959884169511e+05,9.535546322855112521e+03
1.048429959884169511e+05,1.097162289173155114e+04
1.049229959722492495e+05,1.097162289173155114e+04
1.049229959722492495e+05,1.253056663774719163e+04
1.050029959560815478e+05,1.253056663774719163e+04
1.050029959560815478e+05,1.426886822708368709e+04
1.050829959399138461e+05,1.426886822708368709e+04
1.050829959399138461e+05,1.591373018717887680e+04
1.051629959237461444e+05,1.591373018717887680e+04
1.051629959237461444e+05,1.813156892545361552e+04
1.052429959075784427e+05,1.813156892545361552e+04
1.052429959075784427e+05,1.976376272982214505e+04
1.053229958914107410e+05,1.976376272982214505e+04
1.053229958914107410e+05,2.142448920275730779e+04
1.054029958752430393e+05,2.142448920275730779e+04
1.054029958752430393e+05,2.324254784484370975e+04
1.054829958590753376e+05,2.324254784484370975e+04
1.054829958590753376e+05,2.497946440354999868e+04
1.055629958429076360e+05,2.497946440354999868e+04
1.055629958429076360e+05,2.617090721527891583e+04
1.056429958267399343e+05,2.617090721527891583e+04
1.056429958267399343e+05,2.750487226548157560e+04
1.057229958105722326e+05,2.750487226548157560e+04
